"lang"
{
	"Language"		"brazilian"
	"Tokens"
	{
		"CardName_10001"		"[C3] Venomante"
		"CardText_10001"		"[abilityname[Natureza Venenosa]][g:409[Invoque]] uma [[Sentinela de Praga]] na trilha do {s:thisCardName} em cada [g:204[fase de posicionamento]]."
		"CardName_10491"		"Natureza Venenosa"
		"CardText_10491"		"[g:409[Invoque]] uma [[Sentinela de Praga]] na trilha do {s:parentCardName} em cada [g:204[fase de posicionamento]]."
		"CardEffect_10491_0"		"[g:409[Invoque]] uma [[Sentinela de Praga]] na trilha do {s:parentCardName} em cada [g:204[fase de posicionamento]]."
		"CardName_10002"		"Semear Veneno"
		"CardText_10002"		"[g:409[Invoque]] duas [[Sentinelas de Praga]]."
		"CardName_10003"		"Sentinela de Praga"
		"CardText_10003"		"[g:200[Antes da fase de ação]], cause 2 de dano [g:508[perfurante]] a um [g:600[inimigo aleatório adjacente]] à {s:thisCardName}."
		"CardEffect_10003_0"		"[g:200[Antes da fase de ação]], cause 2 de dano [g:508[perfurante]] a um [g:600[inimigo aleatório adjacente]] à {s:thisCardName}."
		"CardName_10004"		"[F2] Meepo"
		"CardText_10004"		"[abilityname[Puf]][activatedability[[color:ability[Ativa &#9632;2:]] Mova {s:thisCardName} para a trilha de um [[Meepo]] aliado. [g:608[&#9633;]] Cause 2 de dano aos novos [g:600[inimigos adjacentes]].]]<BR>\n<BR>\n[abilityname[Unidos Sucumbiremos]]{s:thisCardName} tem [g:512[Vínculo]]. (Se {s:thisCardName} morrer, outros {s:thisCardName}s aliados em todas as trilhas também morrem.)"
		"CardName_10429"		"Puf"
		"CardText_10429"		"Mova {s:parentCardName} para a trilha de um [[Meepo]] aliado. [g:608[&#9633;]] Cause 2 de dano aos novos [g:600[inimigos adjacentes]]."
		"CardName_10490"		"Unidos Sucumbiremos"
		"CardText_10490"		"{s:parentCardName} tem [g:512[Vínculo]]. (Se {s:parentCardName} morrer, outros {s:parentCardName}s aliados em todas as trilhas também morrem.)"
		"CardEffect_10490_0"		"{s:parentCardName} tem [g:512[Vínculo]]."
		"CardName_10005"		"Divididos Venceremos"
		"CardText_10005"		"[g:409[Invoque]] um [[Meepo]]."
		"CardName_10006"		"[A3] Luna"
		"CardText_10006"		"[abilityname[Raio Lunar]][g:200[Antes da fase de ação]], cause 1 de dano [g:508[perfurante]] a um inimigo aleatório e coloque uma carga em três cartas aleatórias de [[Eclipse]] na sua mão ou deck."
		"CardName_10489"		"Raio Lunar"
		"CardText_10489"		"[g:200[Antes da fase de ação]], cause 1 de dano [g:508[perfurante]] a um inimigo aleatório e coloque uma carga em três cartas aleatórias de [[Eclipse]] na sua mão ou deck."
		"CardEffect_10489_0"		"[g:200[Antes da fase de ação]], cause 1 de dano [g:508[perfurante]] a um inimigo aleatório e coloque uma carga em três cartas aleatórias de [[Eclipse]] na sua mão ou deck."
		"CardName_10007"		"Eclipse"
		"CardText_10007"		"Para cada carga: [g:608[&#9633;]] Cause 3 de dano [g:508[perfurante]] a um inimigo aleatório."
		"CardName_10010"		"[C2] Serpe Invernal"
		"CardText_10010"		"[abilityname[Cauterização Ártica]][activatedability[[color:ability[Ativa &#9632;2:]] Mova a {s:thisCardName} para uma posição de combate vazia, concedendo-lhe +4 de [g:509[Ataque]] nesta rodada.]]"
		"CardName_10430"		"Cauterização Ártica"
		"CardText_10430"		"Mova a {s:parentCardName} para uma posição de combate vazia, concedendo-lhe +4 de [g:509[Ataque]] nesta rodada."
		"CardModification_10430_0"		"+4 de [g:509[Ataque]]."
		"CardName_10011"		"Maldição do Inverno"
		"CardText_10011"		"[g:404[Desarme]] uma [g:607[unidade]] até o fim da rodada. [g:608[&#9633;]] Depois, os [g:601[aliados adjacentes]] a essa [g:607[unidade]] [g:400[lutam]] contra ela."
		"CardName_10014"		"[A0] Lican"
		"CardText_10014"		"[abilityname[Impulso Feroz]]Os [g:601[aliados adjacentes]] ao {s:thisCardName} ganham +2 de [g:509[Ataque]]."
		"CardName_10494"		"Impulso Feroz"
		"CardText_10494"		"Os [g:601[aliados adjacentes]] ao {s:parentCardName} ganham +2 de [g:509[Ataque]]."
		"CardEffect_10494_0"		"Os [g:601[aliados adjacentes]] ao {s:parentCardName} ganham +2 de [g:509[Ataque]]."
		"CardName_10016"		"[C12] Abaddon"
		"CardText_10016"		"[abilityname[Tempo Emprestado]][activatedability[[color:ability[Ativa &#9632;2:]] Cure {s:thisCardName} completamente, concedendo-lhe [g:507[Imunidade a Dano]] nesta rodada.]]"
		"CardName_10431"		"Tempo Emprestado"
